Award Year,Category,Category Full Name,Date Awarded,Laureate Name,Known Name,Gender,Birth Date,Birth Place,Birth Country,Birth Continent,Identification,Motivation,Prize Amount,Prize Amount Adjusted
1901,Chemistry,The Nobel Prize in Chemistry,1901-11-12,Jacobus Henricus van 't Hoff,Jacobus H. van 't Hoff,male,1852-08-30,Rotterdam,the Netherlands,Europe,160,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,150782,9704878
1901,Literature,The Nobel Prize in Literature,1901-11-14,Sully Prudhomme,Sully Prudhomme,male,1839-03-16,Paris,France,Europe,569,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",150782,9704878
1901,Peace,The Nobel Peace Prize,1901-12-10,Jean Henry Dunant,Henry Dunant,male,1828-05-08,Geneva,Switzerland,Europe,462,for his humanitarian efforts to help wounded soldiers and create international understanding,150782,9704878
1901,Peace,The Nobel Peace Prize,1901-12-10,Frédéric Passy,Frédéric Passy,male,1822-05-20,Paris,France,Europe,463,"for his lifelong work for international peace conferences, diplomacy and arbitration",150782,9704878
1901,Physics,The Nobel Prize in Physics,1901-11-12,Wilhelm Conrad Röntgen,Wilhelm Conrad Röntgen,male,1845-03-27,Lennep,Prussia,Europe,1,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,150782,9704878
1901,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1901-10-30,Emil Adolf von Behring,Emil von Behring,male,1854-03-15,Hansdorf,Prussia,Europe,293,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",150782,9704878
1902,Chemistry,The Nobel Prize in Chemistry,1902-11-11,Hermann Emil Fischer,Emil Fischer,male,1852-10-09,Euskirchen,Prussia,Europe,161,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,141847,9129789
1902,Literature,The Nobel Prize in Literature,1902-11-13,Christian Matthias Theodor Mommsen,Theodor Mommsen,male,1817-11-30,Garding,Schleswig,Europe,571,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",141847,9129789
1902,Peace,The Nobel Peace Prize,1902-12-10,Élie Ducommun,Élie Ducommun,male,1833-02-19,Geneva,Switzerland,Europe,464,for his untiring and skilful directorship of the Bern Peace Bureau,141847,9129789
1902,Peace,The Nobel Peace Prize,1902-12-10,Charles Albert Gobat,Albert Gobat,male,1843-05-21,Tramelan,Switzerland,Europe,465,for his eminently practical administration of the Inter-Parliamentary Union,141847,9129789
1902,Physics,The Nobel Prize in Physics,1902-11-11,Hendrik Antoon Lorentz,Hendrik A. Lorentz,male,1853-07-18,Arnhem,the Netherlands,Europe,2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,141847,9129789
1902,Physics,The Nobel Prize in Physics,1902-11-11,Pieter Zeeman,Pieter Zeeman,male,1865-05-25,Zonnemaire,the Netherlands,Europe,3,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,141847,9129789
1902,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1902-10-30,Ronald Ross,Ronald Ross,male,1857-05-13,Almora,India,Asia,294,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",141847,9129789
